CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Revenue_Per_Month,Tenure_Group,Charge_Group,Cluster,Customer Segment,Predicted_Churn_Probability
9305-CDSKC,Los Angeles,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,91.16666666666669,0-1 Year,Very High,1,Loyal Customers,0.7655063
8779-QRDMV,Los Angeles,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,19.825,0-1 Year,Medium,1,Loyal Customers,0.81648624
8168-UQWWF,Los Angeles,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,92.11666666666667,0-1 Year,Very High,1,Loyal Customers,0.79102856
3091-FYHKI,Harbor City,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,17.725,0-1 Year,Low,2,At Risk Customers,0.7624849
1024-GUALD,Glendale,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,12.4,0-1 Year,Low,1,Loyal Customers,0.7652327
9514-JDSKI,El Monte,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,20.1,0-1 Year,Medium,1,Loyal Customers,0.7544237
7273-TEFQD,La Puente,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,33.05,0-1 Year,Medium,2,At Risk Customers,0.73648953
3606-TWKGI,Rowland Heights,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,97.45,1-2 Years,Very High,2,At Risk Customers,0.71595776
5940-AHUHD,Pomona,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,35.3,0-1 Year,High,2,At Risk Customers,0.711372
6432-TWQLB,Rosemead,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,66.85000000000001,0-1 Year,High,2,At Risk Customers,0.7977558
