CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Revenue_Per_Month,Tenure_Group,Charge_Group,Cluster,Customer Segment
3668-QPYBK,Los Angeles,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,36.05,0-1 Year,Medium,2,At Risk Customers
9237-HQITU,Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,50.55,0-1 Year,High,2,At Risk Customers
9305-CDSKC,Los Angeles,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,91.16666666666669,0-1 Year,Very High,1,Loyal Customers
7892-POOKP,Los Angeles,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,105.03620689655172,2-4 Years,Very High,0,Champions
0280-XJGEX,Los Angeles,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,100.726,4-6 Years,Very High,0,Champions
4190-MFLUW,Los Angeles,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,48.03181818181818,0-1 Year,Medium,1,Loyal Customers
8779-QRDMV,Los Angeles,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,19.825,0-1 Year,Medium,1,Loyal Customers
1066-JKSGK,Los Angeles,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,10.075,0-1 Year,Low,1,Loyal Customers
6467-CHFZW,Los Angeles,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,98.940625,2-4 Years,Very High,0,Champions
8665-UTDHZ,Los Angeles,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,15.1,0-1 Year,Low,2,At Risk Customers
8773-HHUOZ,Los Angeles,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,60.727777777777774,1-2 Years,Medium,2,At Risk Customers
6047-YHPVI,Los Angeles,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,52.81666666666666,0-1 Year,Medium,2,At Risk Customers
5380-WJKOV,Los Angeles,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,101.40714285714286,2-4 Years,Very High,2,At Risk Customers
8168-UQWWF,Los Angeles,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,92.11666666666667,0-1 Year,Very High,1,Loyal Customers
7760-OYPDY,Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,48.05,0-1 Year,High,1,Loyal Customers
